uuid,human_frame_0,human_frame_1,human_frame_2,human_frame_3,human_frame_4,human_frame_5,human_frame_6,all_human_frames
198f386d-dd9e-474e-bc70-e49da71ec5b9,economic,,,,,,none,"economic, none"
19cc4b22-1ccb-4290-9e20-90424f219380,,health and safety,,,health and safety,"quality of life, security and defense, economic, crime and punishment",,"health and safety, health and safety, quality of life, security and defense, economic, crime and punishment"
19f55748-715b-4422-8d1b-de6c94747acd,economic,,,none,,,none,"economic, none, none"
1a02ce8d-02e8-46d9-9b63-a1ad3043e966,,"quality of life, capacity and resources, policy prescription and evaluation",,,"capacity and resources, economic",security and defense,,"quality of life, capacity and resources, policy prescription and evaluation, capacity and resources, economic, security and defense"
1a118cab-d396-44e8-aa88-a161fb7ccb9e,,cultural identity,,,none,cultural identity,,"cultural identity, none, cultural identity"
1a1a5fb8-a108-4e43-8f7f-481e366a2490,,,,health and safety,,,,health and safety
1a61ddec-48dd-4df6-9c8c-29075fd8bd81,,,political,,,,,political
1a780e46-ff21-40e5-83e3-6c9216898e78,,,,"quality of life, cultural identity",,,,"quality of life, cultural identity"
1abb96e0-f965-49ae-b694-829de0c7a959,,cultural identity,,none,public opinion,"security and defense, health and safety, public opinion, external regulation and reputation",,"cultural identity, none, public opinion, security and defense, health and safety, public opinion, external regulation and reputation"
1b3040c1-8cfb-4668-afd4-fc4a116611f4,,"quality of life, capacity and resources",,,quality of life,policy prescription and evaluation,,"quality of life, capacity and resources, quality of life, policy prescription and evaluation"
1b4b12cb-7a0d-40f4-bd12-3fdc6cba676b,,,quality of life,,,,,quality of life
1b786d8d-2c56-4971-906c-44902a537a2a,,,none,,,,,none
1bbf1867-d074-4cde-a551-3f2d9358d990,,,,security and defense,,,,security and defense
1bec9272-acdf-403a-b45b-ff32839a1641,,none,,,quality of life,none,,"none, quality of life, none"
1bf3a02a-32b2-4a3c-b374-9b61b4f3fd7e,,,public opinion,,,,,public opinion
1c0a438f-475b-41d5-a0a9-316b833cc8e0,,"quality of life, capacity and resources",,,none,"security and defense, health and safety",,"quality of life, capacity and resources, none, security and defense, health and safety"
1c42b050-c4ae-44a6-8fe6-ae07f78d8f95,,,,"security and defense, crime and punishment",,,,"security and defense, crime and punishment"
1c9f84b8-04cc-42a9-8cb7-69338d61988a,,,cultural identity,,,,,cultural identity
1cc0e435-54d7-443e-8bd4-f6b7840f03f7,quality of life,,,,,,quality of life,"quality of life, quality of life"
1cc49635-883f-408d-86b0-17ed6c9325f3,,,,none,,,,none
1d371e2c-2dc6-4e8b-ada6-c91b7f6cff44,,,"security and defense, crime and punishment",,,,,"security and defense, crime and punishment"
1d5e5f43-18cd-4f31-871f-f0f708742378,,,"health and safety, crime and punishment",,,,,"health and safety, crime and punishment"
1de39a8b-4ca7-43d1-b0f5-518404ab63af,health and safety,,,,,,health and safety,"health and safety, health and safety"
1e34c07c-0625-43b2-9616-7cb935829cca,political,,,,,,political,"political, political"
1e6e93cf-cd6c-40b3-9d59-de466fb4033f,political,,,,,,quality of life,"political, quality of life"
1eb7eda6-a825-4ee1-a2b4-71dfa3154312,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
1ec54065-eb7d-45d9-b9ec-2abc4134df5b,,none,,none,none,none,,"none, none, none, none"
1efc80ca-058b-4756-8285-25c9732282df,,,,cultural identity,,,,cultural identity
1fa71cc5-8e50-400a-8a73-e4e3f11d194b,economic,,,,,,none,"economic, none"
1fbfe99c-b8a7-42e1-a125-99d741cf5469,,cultural identity,,,public opinion,"public opinion, cultural identity",,"cultural identity, public opinion, public opinion, cultural identity"
1fd26d7d-11dd-4b2b-8f4d-f293eb02a29a,,"political, security and defense, public opinion",,,"political, security and defense","capacity and resources, security and defense, economic, cultural identity, crime and punishment",,"political, security and defense, public opinion, political, security and defense, capacity and resources, security and defense, economic, cultural identity, crime and punishment"
201e88e2-77e3-4999-99db-a7681e56ad6f,,,,security and defense,,,,security and defense
204279ec-377f-49cf-89c0-47df1ddfbd00,,,health and safety,,,,,health and safety
20744f35-8292-4eaa-b9a1-c4cf25dd638e,,,none,,,,,none
20c18bc5-3207-45a6-8408-53867d1a1dfb,,,none,,,,,none
20f00790-80f9-407a-a183-6f79e15d327a,,,none,,,,,none
211fcb2b-dc83-45c1-8bcd-e9e34ea8ec46,quality of life,,,quality of life,,,quality of life,"quality of life, quality of life, quality of life"
21a1b3fa-638e-451b-9ecb-52bf192ff30a,,,political,,,,,political
2259de42-57b8-4ef8-a5a1-a9f5422aa789,morality,,,"morality, cultural identity",,,"morality, cultural identity","morality, morality, cultural identity, morality, cultural identity"
226e7962-3165-4a30-b2d8-f264f1bf1ff6,cultural identity,,,,,,none,"cultural identity, none"
22d09d53-859d-4139-8b77-4643790aa851,public opinion,,,,,,"fairness and equality, public opinion","public opinion, fairness and equality, public opinion"
2311fd39-7d5b-4656-9562-f7680f485675,,,public opinion,,,,,public opinion
234ff4ab-0f3a-4d80-a75a-12a86f8a23c0,public opinion,,,,,,none,"public opinion, none"
23d37a3b-5230-47d9-a908-64b1db8bad62,health and safety,,,,,,none,"health and safety, none"
23ef5d02-0f80-42bc-8465-0a5e8d7dc8ac,,,quality of life,,,,,quality of life
23f42948-c315-4830-a650-4bb5248dc7b0,,,none,,,,,none
2438b4fe-f045-4bd9-8483-946325033548,political,,,,,,political,"political, political"
247b2870-a773-4a7d-bf42-7c824580a5aa,,,,none,,,,none
247e332d-2aaf-4a48-9e57-8482a9874f9a,,,,health and safety,,,,health and safety
24c24d85-afa6-4776-a16a-ef5f11beabf1,none,,,,,,none,"none, none"
255541da-8117-49f3-9b26-033c21e37abb,economic,,,,,,none,"economic, none"
256331b6-a8eb-4f82-be18-2c68e2655f10,,cultural identity,,,none,"economic, cultural identity",,"cultural identity, none, economic, cultural identity"
256753c9-67bf-4776-bc15-8a96ccb46cd7,,,none,,,,,none
266221e4-bdf5-470b-933b-7ab1f01ae28c,,cultural identity,,,none,"economic, cultural identity",,"cultural identity, none, economic, cultural identity"
269ca2c9-fb52-4710-bc1f-ccacd70c40bb,,,,cultural identity,,,,cultural identity
270e6be7-c17b-49c3-8416-d1dd7a5cc060,,,none,,,,,none
2718a8cc-1a0c-42bb-9613-7c073e6f53be,,,none,,,,,none
2736105e-7edc-4b6c-9570-2059d6c3a0d4,crime and punishment,,,,,,crime and punishment,"crime and punishment, crime and punishment"
273c6780-9acf-4ee3-a31e-e286d941994b,quality of life,,,,,,"quality of life, cultural identity","quality of life, quality of life, cultural identity"
280c3abb-bfd8-4090-9777-4b330351ccb6,health and safety,,,,,,quality of life,"health and safety, quality of life"
288336e3-380a-4b53-8816-09d0597b5eb0,,,cultural identity,,,,,cultural identity
28e45f2b-7bf9-4441-a3a1-aaed7c6151ff,,political,,,none,political,,"political, none, political"
2902f2f8-417c-425f-bd4b-3450677a168c,,,crime and punishment,,,,,crime and punishment
29a18385-47ff-4083-8f24-4c99f47ea6ab,,,crime and punishment,,,,,crime and punishment
29f11445-8424-4afb-a331-0814275b5a87,political,,,,,,none,"political, none"
2a8e7780-39d0-4f4b-9eca-7a8a0be703ea,public opinion,,,,,,fairness and equality,"public opinion, fairness and equality"
2aafef60-a3e5-45a0-8ccd-deda729c416d,,health and safety,,,none,"capacity and resources, external regulation and reputation",,"health and safety, none, capacity and resources, external regulation and reputation"
2adf0ff5-aba2-4871-ae53-827ff89d1664,,,political,,,,,political
2afdcc0c-a0ab-4942-a6f0-252b18790c99,,quality of life,,,none,none,,"quality of life, none, none"
2b6c0ba0-9883-4bae-a700-5d2a201e5de9,,,,none,,,,none
2b8a5458-a0cf-4b5c-bb18-4035760dfd82,health and safety,,,,,,"quality of life, health and safety","health and safety, quality of life, health and safety"
2bba31ab-faa3-44b0-a926-3e900172a78f,,,public opinion,,,,,public opinion
2bbcc92f-54da-4466-bd72-30ca80dbdcb9,,,political,,,,,political
2bc82f82-88db-4667-8be3-c8d1d030007d,,,none,,,,,none
2be5b479-7954-4727-bc75-65ae787800fe,political,,,,,,none,"political, none"
2bec4b04-01d3-4b01-8328-acde4f069a1b,,quality of life,,,none,"security and defense, health and safety",,"quality of life, none, security and defense, health and safety"
2c53e957-02de-4ef3-bf10-ae4768b77009,,,,"political, public opinion",,,,"political, public opinion"
2c68dda3-ab53-469a-bcd4-21f032127301,political,,,"political, cultural identity, external regulation and reputation",,,political,"political, political, cultural identity, external regulation and reputation, political"
2c79ab0c-3445-4be5-bce4-945ff1e47da2,,none,,,none,political,,"none, none, political"
2c9058dc-c9de-4005-a46d-8cef278d2445,,,none,,,,,none
2ce819f7-8fa7-4069-8ba1-a87b8477d46a,,,political,,,,,political
2cecc68a-9209-4311-a44f-188e662e362c,,,health and safety,,,,,health and safety
2d0840df-cdcb-4659-b32a-877b2df07586,,,none,,,,,none
2d1c4aab-0a4d-4bad-b00f-1dcbb88d1e35,,capacity and resources,,none,none,"quality of life, security and defense, health and safety, economic",,"capacity and resources, none, none, quality of life, security and defense, health and safety, economic"
2d26ab26-4bf7-42fd-b067-12316da20ade,,political,,none,political,political,,"political, none, political, political"
2dbb392f-fce4-489b-aa95-c9b00030b7d8,health and safety,,,none,,,none,"health and safety, none, none"
2dbfbf66-3d77-4999-b7ef-5a1d40aa04e1,political,,,,,,political,"political, political"
2dbfef46-9007-4f91-81b8-e2f424a5d129,,none,,,none,"quality of life, public opinion, cultural identity",,"none, none, quality of life, public opinion, cultural identity"
2dc3ce67-3549-41f5-a4d1-6fc67baa8f68,,none,,none,none,economic,,"none, none, none, economic"
2e54fabe-5901-4294-a3d4-8c1b462cfa36,political,,,policy prescription and evaluation,,,legality_constitutionality_jurisprudence,"political, policy prescription and evaluation, legality_constitutionality_jurisprudence"
2e768c98-b3b2-44f2-ba4b-841ab96832ef,none,,,,,,none,"none, none"
2eef5d28-1c66-4deb-859b-288703a5280c,,,"security and defense, health and safety, crime and punishment","political, security and defense, morality",,,,"security and defense, health and safety, crime and punishment, political, security and defense, morality"
2f86d516-e78e-49fa-89e4-fc1bdf7076b2,,,,political,,,,political
2fffc246-866d-4dc4-affc-2b77d0aa6942,,quality of life,,,cultural identity,none,,"quality of life, cultural identity, none"
3012df5e-1f31-4cb7-b16e-3d627aa770e8,,capacity and resources,,quality of life,none,quality of life,,"capacity and resources, quality of life, none, quality of life"
30b34e40-e295-4f41-8dfa-9db98d94112b,,,,none,,,,none
30d97d69-661c-4cb4-947f-fe27a173fe4a,none,,,,,,,"none, "
314ffff6-f245-4348-abaa-06bfea90efee,political,,,,,,"health and safety, public opinion","political, health and safety, public opinion"
3167b153-9baa-4b55-8e0d-16f5c1e00cac,political,,,,,,"quality of life, cultural identity","political, quality of life, cultural identity"
3172e72c-04ff-47b1-9666-e0fa84b8d8b6,,,,none,,,,none
324b7e9b-3e55-43f8-b044-d2bcb165d2e9,cultural identity,,,,,,cultural identity,"cultural identity, cultural identity"
3265bda5-e829-4012-8783-abb64e8e63a2,,,,"quality of life, cultural identity",,,,"quality of life, cultural identity"
32c25976-6c8f-401a-960e-3fab97df6ee6,economic,,,,,,none,"economic, none"
333237dc-c2e5-4dea-885b-3211c4b85374,economic,,,,,,economic,"economic, economic"
333f2337-1b07-4a2d-8463-368fc4f14fdb,,,crime and punishment,,,,,crime and punishment
33c410d7-0ce2-46cb-b648-7b95eb3961e5,,,crime and punishment,,,,,crime and punishment
33f23736-1ca3-44c3-bf16-9002e61b668f,economic,,,,,,none,"economic, none"
34364d2c-14c1-4b2c-9f7c-7d1ed464f8f3,,,cultural identity,,,,,cultural identity
34398346-0f86-4d9e-bcd9-edda8efa34cb,,,,cultural identity,,,,cultural identity
3466c671-aa86-4fa3-a71a-2ccef3a23df4,,capacity and resources,,,none,economic,,"capacity and resources, none, economic"
35687026-6ace-40eb-ac7c-a4a4c93e4833,economic,,,,,,none,"economic, none"
35a352f2-a52c-49aa-af63-b68e382c580f,health and safety,,,,,,capacity and resources,"health and safety, capacity and resources"
35a51061-1b3a-4c3c-b9e7-31df64741c9d,,,none,,,,,none
35c2f38b-1624-4eb4-8f4f-9dab21570cb1,,public opinion,,,none,cultural identity,,"public opinion, none, cultural identity"
3610905c-439f-4d13-b234-6eea3345bf5c,,,,public opinion,,,,public opinion
365b03c8-4d1f-43ed-abd7-cc69006fd524,security and defense,,,,,,health and safety,"security and defense, health and safety"
367a45c4-fa66-40b3-b25d-1f3dfbfe6087,,,public opinion,,,,,public opinion
374b0c40-6a93-4110-b6ec-729b5ff55c3b,capacity and resources,,,,,,"quality of life, cultural identity","capacity and resources, quality of life, cultural identity"
3787451f-7fe2-4991-b7e6-e164fa785bd6,,,political,political,,,,"political, political"
38439694-982b-4dfc-b861-692fce14c269,economic,,,,,,none,"economic, none"
38bb4759-6b5c-4f61-80b2-01c72bdc995e,quality of life,,,,,,none,"quality of life, none"
3929eead-b3aa-4ac5-8647-46d86240bf3a,political,,,,,,political,"political, political"
395c6ac1-c7e7-440d-a2cb-2d0af9aaefc7,economic,,,,,,none,"economic, none"
39d19f9c-3794-4c45-9040-43e869074feb,,cultural identity,,,cultural identity,cultural identity,,"cultural identity, cultural identity, cultural identity"
3b9d6948-7b1e-4008-97b9-5d331edae91a,,,public opinion,"fairness and equality, public opinion",,,,"public opinion, fairness and equality, public opinion"
3ba12c49-56ac-4eed-bf9a-fbb3c471d8cd,,quality of life,,,health and safety,cultural identity,,"quality of life, health and safety, cultural identity"
3bdc920e-8756-414e-9d95-5c5cb6a97b97,,,none,,,,,none
3c051836-17b3-4770-8a74-65c8a6971248,,,cultural identity,,,,,cultural identity
3c0d0c20-fa8a-4555-bffb-86f6c6b47a61,,,,none,,,,none
3c260fa2-9bb4-4337-84db-07a497160a1f,,economic,,,economic,"quality of life, economic",,"economic, economic, quality of life, economic"
3c2f7097-6642-4323-92ed-c4ccfbc0e722,,public opinion,,,public opinion,public opinion,,"public opinion, public opinion, public opinion"
3cb2fead-4506-4ade-bb70-6b0b57721a6f,,,cultural identity,,,,,cultural identity
3cdb486f-e05c-4182-a8e9-32ff07053912,health and safety,,,,,,health and safety,"health and safety, health and safety"
3d63c347-dfa5-4bed-8a2b-6e8412e9662e,,,,none,,,,none
3de80eee-2371-4529-9de1-7ce5f89b62da,,,crime and punishment,,,,,crime and punishment
3e544452-3468-4705-a6f3-74e5ffb87c90,,political,,,political,"quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment",,"political, political, quality of life, capacity and resources, political, security and defense, policy prescription and evaluation, fairness and equality, health and safety, legality_constitutionality_jurisprudence, morality, economic, public opinion, cultural identity, external regulation and reputation, crime and punishment"
3ee50edd-0e03-4222-a525-3b7b3a05b426,,,,political,,,,political
3f425548-afb8-49f7-9c58-9b2542afb840,,,,none,,,,none
3f933b9c-c7e2-408b-bad5-ad7a80bcffd9,,,none,,,,,none
3f98b216-a3aa-4045-bc32-87e2438ca9d0,,,"political, cultural identity",,,,,"political, cultural identity"
3fe4c516-85d1-4b66-9aff-79287ac5f058,economic,,,,,,quality of life,"economic, quality of life"
40bc807b-c26d-44a1-add6-52777252437f,,,quality of life,,,,,quality of life
40e199b1-26d3-427d-b1d8-5e4c86597795,,,none,,,,,none
41273d80-164d-47de-b627-324411262681,,"morality, cultural identity",,,crime and punishment,crime and punishment,,"morality, cultural identity, crime and punishment, crime and punishment"
41497f55-d6de-4762-ab45-29141244bd82,,,none,,,,,none
415103cb-c19f-4cee-a675-31d9a8d09806,none,,,,,,none,"none, none"
417b5a6a-00d7-4aea-9b53-f40f61dba66d,morality,,,,,,none,"morality, none"
421f8cc2-9597-42aa-9d40-5a25c1abc7d7,,,quality of life,,,,,quality of life
42fcaa69-110d-40c0-9493-8dd4215f5129,,capacity and resources,,,none,health and safety,,"capacity and resources, none, health and safety"
433a4ec3-794b-4515-8521-8fd9c94285c2,public opinion,,,,,,"political, security and defense, public opinion","public opinion, political, security and defense, public opinion"
43788daf-6f2e-4072-98db-eee7918dbff4,crime and punishment,,,,,,crime and punishment,"crime and punishment, crime and punishment"
43b877c8-0bd8-4528-9344-253fcbdf9f51,,"political, legality_constitutionality_jurisprudence",,,political,none,,"political, legality_constitutionality_jurisprudence, political, none"
43f1563d-a52d-45b3-a70f-36047f3a0b3d,,,capacity and resources,,,,,capacity and resources
441199e2-b032-47a6-9dc4-c367028c17b8,,,none,,,,,none
447e9b7c-8972-4129-b3e7-7636e6dbdea6,crime and punishment,,,,,,health and safety,"crime and punishment, health and safety"
44aedfab-c8c2-48fa-a1eb-ecb79270ca5e,economic,,,,,,economic,"economic, economic"
44db3fe6-50f6-42a0-a6e0-0bd83fc901d5,quality of life,,,,,,none,"quality of life, none"
